20230630,西城,西单,英嘉公寓,78667元/m2,1套在售二手房
20230630,西城,西单,西交民巷27号院,151860元/m2,1套在售二手房
20230630,西城,西单,西交民巷62号院,176039元/m2,1套在售二手房
20230630,西城,西单,新壁街,139278元/m2,25套在售二手房
20230630,西城,西单,上国阙,183630元/m2,1套在售二手房
20230630,西城,西单,南池子大街,162047元/m2,1套在售二手房
20230630,西城,西单,太仆寺33号院,194544元/m2,2套在售二手房
20230630,西城,西单,天安国汇,87982元/m2,3套在售二手房
20230630,西城,西单,复地西绒线26号,157531元/m2,5套在售二手房
20230630,西城,西单,大六部口,149043元/m2,7套在售二手房
20230630,西城,西单,东斜街,146045元/m2,1套在售二手房
20230630,西城,西单,佳慧雅园,169448元/m2,2套在售二手房
20230630,西城,西单,力学胡同,154079元/m2,1套在售二手房
20230630,西城,西单,罗贤胡同,145480元/m2,1套在售二手房
20230630,西城,西单,北安里,155675元/m2,2套在售二手房
20230630,西城,西单,西黄城根南街一区,171923元/m2,6套在售二手房
20230630,西城,西单,西黄城根南街9号院,177054元/m2,2套在售二手房
20230630,西城,西单,西黄城根45号院,181452元/m2,1套在售二手房
20230630,西城,西单,西绒线,137592元/m2,21套在售二手房
20230630,西城,西单,钟声胡同,147967元/m2,6套在售二手房
20230630,西城,西单,灵境胡同,162418元/m2,17套在售二手房
20230630,西城,西单,东栓胡同,暂无数据,0套在售二手房
20230630,西城,西单,东安福胡同,暂无数据,0套在售二手房
20230630,西城,西单,铜井大院,231513元/m2,0套在售二手房
20230630,西城,西单,小酱坊胡同,172584元/m2,0套在售二手房
20230630,西城,西单,宗学胡同,暂无数据,0套在售二手房
20230630,西城,西单,西文昌胡同,暂无数据,0套在售二手房
20230630,西城,西单,西安福胡同,暂无数据,0套在售二手房
20230630,西城,西单,东中胡同,暂无数据,0套在售二手房
20230630,西城,西单,西松树胡同,暂无数据,0套在售二手房
20230630,西城,西单,崇善里胡同,暂无数据,0套在售二手房
20230630,西城,西单,大秤钩胡同,暂无数据,0套在售二手房
20230630,西城,西单,景山前街,暂无数据,0套在售二手房
20230630,西城,西单,南安里,132807元/m2,0套在售二手房
20230630,西城,西单,南文昌胡同,暂无数据,0套在售二手房
20230630,西城,西单,石碑胡同,176216元/m2,0套在售二手房
20230630,西城,西单,东松树胡同,205892元/m2,0套在售二手房
20230630,西城,西单,东文昌胡同,240424元/m2,0套在售二手房
20230630,西城,西单,东新帘子胡同,暂无数据,0套在售二手房
20230630,西城,西单,府右街,暂无数据,0套在售二手房
20230630,西城,西单,飞龙桥胡同,暂无数据,0套在售二手房
20230630,西城,西单,大酱坊胡同,暂无数据,0套在售二手房
20230630,西城,西单,西文昌胡同,暂无数据,0套在售二手房
20230630,西城,西单,西安福胡同,暂无数据,0套在售二手房
20230630,西城,西单,前井胡同11号院,暂无数据,0套在售二手房
20230630,西城,西单,新建胡同,暂无数据,0套在售二手房
20230630,西城,西单,小六部口,暂无数据,0套在售二手房
20230630,西城,西单,前细瓦厂胡同,280368元/m2,0套在售二手房
20230630,西城,西单,宣武门内大街,暂无数据,0套在售二手房
20230630,西城,西单,西黄城根南街,164979元/m2,0套在售二手房
20230630,西城,西单,东中胡同,暂无数据,0套在售二手房
20230630,西城,西单,双栅栏胡同,暂无数据,0套在售二手房
20230630,西城,西单,铜井大院,231513元/m2,0套在售二手房
20230630,西城,西单,东栓胡同,暂无数据,0套在售二手房
20230630,西城,西单,东安福胡同,暂无数据,0套在售二手房
20230630,西城,西单,东旧帘子胡同,暂无数据,0套在售二手房
20230630,西城,西单,西松树胡同,暂无数据,0套在售二手房
20230630,西城,西单,灵境胡同12号院,暂无数据,0套在售二手房
20230630,西城,西单,羊皮市胡同,暂无数据,0套在售二手房
20230630,西城,西单,宗学胡同,暂无数据,0套在售二手房
20230630,西城,西单,北长街,暂无数据,0套在售二手房
20230630,西城,西单,北池子二条,暂无数据,0套在售二手房
20230630,西城,西单,北新华街,暂无数据,0套在售二手房
20230630,西城,西单,后细瓦厂胡同,暂无数据,0套在售二手房
20230630,西城,西单,颁赏胡同,暂无数据,0套在售二手房
20230630,西城,西单,西绒线胡同,114648元/m2,0套在售二手房
20230630,西城,西单,言志胡同,暂无数据,0套在售二手房
20230630,西城,西单,东牛角胡同,暂无数据,0套在售二手房
20230630,西城,西单,南长街,174536元/m2,0套在售二手房
20230630,西城,西单,小酱坊胡同,172584元/m2,0套在售二手房
20230630,西城,西单,光明胡同,暂无数据,0套在售二手房
20230630,西城,西单,横二条,55127元/m2,0套在售二手房
20230630,西城,西单,大六部口街31号,暂无数据,0套在售二手房
20230630,西城,西单,南小栓胡同,暂无数据,0套在售二手房
20230630,西城,西单,兴隆街1号院,143608元/m2,0套在售二手房
